Player 1 settings:,,,,,,,,,
Experiment Name, BestMCTS,,,,,,,,
Player Type, computer,,,,,,,,
Player Code,1,,,,,,,,
AI Type, mcts,,,,,,,,
Is Parallelised, true,,,,,,,,
Minimax Depth,3,,,,,,,,
Minimax Time Limit,10,,,,,,,,
MCTS Time Limit,10,,,,,,,,
MCTS Iteration Limit,10000,,,,,,,,
Root Parallelised, true,,,,,,,,
Exploration Constant,0.1,,,,,,,,
RAVE Bias,0.005,,,,,,,,
Bridge Weight,0,,,,,,,,
,,,,,,,,,
Player 2 settings:,,,,,,,,,
Experiment Name, BestMinimax,,,,,,,,
Player Type, computer,,,,,,,,
Player Code,2,,,,,,,,
AI Type, minimax,,,,,,,,
Is Parallelised, true,,,,,,,,
Minimax Depth,3,,,,,,,,
Minimax Time Limit,10,,,,,,,,
MCTS Time Limit,5,,,,,,,,
MCTS Iteration Limit,10000,,,,,,,,
Root Parallelised, true,,,,,,,,
Exploration Constant,0.3,,,,,,,,
RAVE Bias,0.001,,,,,,,,
Bridge Weight,2.3,,,,,,,,
,,,,,,,,,
Played first, Swapped, Winner, Player 1 avg Sims/move, Player 2 avg Sims/move,,,,,
1, false,1,80000,0,,,,74,26
2, false,2,80000,0,,,,,
1, true,1,79985.5,0,,,,,
2, true,2,69684.2,0,,,,,
1, true,1,73732,0,,,,,
2, false,1,79845,0,,,,,
1, true,2,67320,0,,,,,
2, false,2,61278,0,,,,,
1, true,1,60758.1,0,,,,,
2, true,1,59957.8,0,,,,,
1, false,2,50605.4,0,,,,,
2, true,2,50140.9,0,,,,,
1, false,2,53354.2,0,,,,,
2, false,1,58267.4,0,,,,,
1, false,1,66438.9,0,,,,,
2, false,1,56096.5,0,,,,,
1, true,2,49547,0,,,,,
2, false,1,54269.9,0,,,,,
1, true,1,50763.7,0,,,,,
2, false,1,57241.5,0,,,,,
1, true,1,52255.5,0,,,,,
2, false,1,52537,0,,,,,
1, false,1,62003.9,0,,,,,
2, false,1,55862.6,0,,,,,
1, true,1,55765.8,0,,,,,
2, true,2,52452.4,0,,,,,
1, true,2,51541.6,0,,,,,
2, true,1,58660.1,0,,,,,
1, false,1,53024.5,0,,,,,
2, true,1,65371.1,0,,,,,
1, false,2,48570.5,0,,,,,
2, false,1,48539.6,0,,,,,
1, false,1,49178.4,0,,,,,
2, true,1,50866.6,0,,,,,
1, false,1,53235.8,0,,,,,
2, false,1,50986.8,0,,,,,
1, false,2,48302,0,,,,,
2, false,1,48557.7,0,,,,,
1, true,2,48048.8,0,,,,,
2, false,2,47263.9,0,,,,,
1, false,2,48426.5,0,,,,,
2, true,1,49244,0,,,,,
1, true,2,47743.2,0,,,,,
2, false,1,49662.8,0,,,,,
1, false,1,53561.8,0,,,,,
2, true,1,49776.4,0,,,,,
1, false,1,59636.9,0,,,,,
2, false,1,67268.4,0,,,,,
1, false,1,67019.1,0,,,,,
2, true,2,58093.6,0,,,,,
1, true,1,57428.9,0,,,,,
2, false,1,57991.7,0,,,,,
1, true,1,50438.9,0,,,,,
2, true,1,55831.5,0,,,,,
1, true,1,53810.4,0,,,,,
2, true,1,55806.4,0,,,,,
1, false,1,54698.8,0,,,,,
2, true,1,52627,0,,,,,
1, true,1,54131.3,0,,,,,
2, false,1,51617.1,0,,,,,
1, false,1,51320.7,0,,,,,
2, false,1,51160.3,0,,,,,
1, false,2,50158.2,0,,,,,
2, true,1,53154.4,0,,,,,
1, true,2,51004.1,0,,,,,
2, true,1,57075,0,,,,,
1, false,1,50260.8,0,,,,,
2, false,1,53085.3,0,,,,,
1, false,1,53570.7,0,,,,,
2, false,1,50735.8,0,,,,,
1, false,1,54483.2,0,,,,,
2, false,1,49498.1,0,,,,,
1, true,1,52651.2,0,,,,,
2, false,1,52462.5,0,,,,,
1, false,2,49762.9,0,,,,,
2, false,1,53636.7,0,,,,,
1, true,1,53229.5,0,,,,,
2, true,2,49351.9,0,,,,,
1, true,1,52053.3,0,,,,,
2, true,1,54144.5,0,,,,,
1, false,1,57803.2,0,,,,,
2, true,1,52676.3,0,,,,,
1, true,1,55239.5,0,,,,,
2, true,1,55988.3,0,,,,,
1, true,1,51873.2,0,,,,,
2, false,2,47325.6,0,,,,,
1, true,2,48094,0,,,,,
2, true,2,48738.6,0,,,,,
1, false,1,51299,0,,,,,
2, false,1,54251.3,0,,,,,
1, true,1,50558.3,0,,,,,
2, true,2,50530,0,,,,,
1, true,1,59707.8,0,,,,,
2, true,1,50944.9,0,,,,,
1, true,1,49673.6,0,,,,,
2, true,1,51571.4,0,,,,,
1, true,1,52851.6,0,,,,,
2, false,1,49149.4,0,,,,,
1, false,2,50939.5,0,,,,,
2, false,1,50276.6,0,,,,,
